#EventID,Time,Latitude,Longitude,Depth/km,Author,Catalog,Contributor,ContributorID,MagType,Magnitude,MagAuthor,EventLocationName,EventType
gfz2015ksjb,02-06-2015 08:22,-3.957,-76.057,114.8,,,GFZ,gfz2015ksjb,mb,5.02,,Northern Peru,
gfz2015jvrp,20-05-2015 22:34,-3.001,-77.59,10,,,GFZ,gfz2015jvrp,mb,5.1,,Peru-Ecuador Border Region,
gfz2015cglf,01-02-2015 23:33,-3.856,-76.543,109,,,GFZ,gfz2015cglf,mb,5.01,,Northern Peru,
gfz2014vzbo,09-11-2014 13:26,-5.385,-78.368,48.6,,,GFZ,gfz2014vzbo,mb,4.8,,Northern Peru,
gfz2014qimw,21-08-2014 08:09,-2.801,-77.726,120.5,,,GFZ,gfz2014qimw,mb,4.34,,Peru-Ecuador Border Region,
gfz2014oxhs,31-07-2014 23:32,-6.209,-76.789,48.6,,,GFZ,gfz2014oxhs,mb,4.54,,Northern Peru,
gfz2014elll,05-03-2014 04:25,-3.974,-76.51,109.5,,,GFZ,gfz2014elll,mb,4.41,,Northern Peru,
gfz2013swzy,26-09-2013 17:44,-5.828,-76.442,24.5,,,GFZ,gfz2013swzy,mb,4.86,,Northern Peru,
gfz2013nwxv,17-07-2013 12:59,-6.143,-76.895,10,,,GFZ,gfz2013nwxv,mb,4.57,,Northern Peru,
gfz2013jgjd,12-05-2013 13:14,-3.183,-77.835,153.9,,,GFZ,gfz2013jgjd,mb,4.4,,Peru-Ecuador Border Region,
gfz2013fduv,15-03-2013 05:34,-3.051,-75.69,140.7,,,GFZ,gfz2013fduv,mb,4.3,,Northern Peru,
gfz2013dkbu,18-02-2013 04:51,-3.172,-77.545,10,,,GFZ,gfz2013dkbu,mb,4.85,,Peru-Ecuador Border Region,
gfz2012zbqw,22-12-2012 16:02,-5.952,-76.801,12.2,,,GFZ,gfz2012zbqw,mb,4.8,,Northern Peru,
gfz2012xivh,28-11-2012 03:09,-4.527,-76.188,109.3,,,GFZ,gfz2012xivh,Mw,5.58,,Northern Peru,
gfz2012vabd,25-10-2012 20:49,-5.809,-76.126,25.4,,,GFZ,gfz2012vabd,mb,5.31,,Northern Peru,
gfz2012pvne,13-08-2012 05:32,-5.603,-76.805,109.9,,,GFZ,gfz2012pvne,mb,4.88,,Northern Peru,
gfz2012mzfu,03-07-2012 13:47,-4.01,-76.201,102.9,,,GFZ,gfz2012mzfu,mb,5.04,,Northern Peru,
gfz2012ltdr,16-06-2012 00:19,-2.634,-76.384,10,,,GFZ,gfz2012ltdr,mb,5.07,,Peru-Ecuador Border Region,
gfz2012goqe,03-04-2012 09:17,-5.997,-77.163,10,,,GFZ,gfz2012goqe,mb,4.61,,Northern Peru,
gfz2012cxha,11-02-2012 04:44,-6.085,-76.432,10,,,GFZ,gfz2012cxha,mb,4.6,,Northern Peru,
gfz2012cpue,07-02-2012 02:18,-3.619,-77.369,10,,,GFZ,gfz2012cpue,mb,4.63,,Peru-Ecuador Border Region,
gfz2011vzlj,09-11-2011 18:22,-4.556,-77.51,10,,,GFZ,gfz2011vzlj,mb,4.93,,Northern Peru,
gfz2011ujeu,17-10-2011 15:22,-5.403,-77.29,10,,,GFZ,gfz2011ujeu,mb,4.64,,Northern Peru,
gfz2011onzd,26-07-2011 20:58,-2.613,-76.758,126.6,,,GFZ,gfz2011onzd,mb,5.06,,Peru-Ecuador Border Region,
gfz2011olyp,25-07-2011 18:25,-5.326,-76.694,121.1,,,GFZ,gfz2011olyp,mb,5.24,,Northern Peru,
gfz2011ibwd,25-04-2011 22:22,-2.707,-77.713,45.1,,,GFZ,gfz2011ibwd,mb,4.84,,,
gfz2010yith,13-12-2010 13:05,-2.852,-77.234,108.1,,,GFZ,gfz2010yith,mb,4.68,,,
gfz2010tudq,09-10-2010 14:04,-2.716,-76.745,118.7,,,GFZ,gfz2010tudq,mb,5.1,,Peru-Ecuador Border Region,
gfz2010thky,02-10-2010 14:54,-4.302,-76.259,155.2,,,GFZ,gfz2010thky,mb,4.53,,Northern Peru,
gfz2010npws,13-07-2010 19:27,-4.259,-78.358,114.3,,,GFZ,gfz2010npws,mb,4.36,,Peru-Ecuador Border Region,
gfz2010mkuc,26-06-2010 18:40,-4.552,-77.16,55.6,,,GFZ,gfz2010mkuc,mb,5.1,,Northern Peru,
gfz2010jshq,19-05-2010 04:15,-4.995,-77.452,123.9,,,GFZ,gfz2010jshq,M,5.88,,Northern Peru,
gfz2010hcwi,12-04-2010 05:51,-4.376,-77.376,19.9,,,GFZ,gfz2010hcwi,mb,4.68,,Northern Peru,
gfz2010dkxa,18-02-2010 16:21,-4.454,-76.95,115.1,,,GFZ,gfz2010dkxa,mb,4.5,,Northern Peru,
gfz2009sdpg,16-09-2009 06:44,-2.895,-77.843,59.9,,,GFZ,gfz2009sdpg,mb,4.49,,Peru-Ecuador Border Region,
gfz2009ikem,30-04-2009 11:45,-4.728,-77.384,108.8,,,,gfz2009ikem,mb,4.55,,Northern Peru,
gfz2008nhmm,08-07-2008 05:08,-3.5,-77.9,106,GEOFON,,GFZ,gfz2008nhmm,mb,4.6,,Peru-Ecuador Border Region,
gfz2008jegq,10-05-2008 11:43,-5.4,-76.6,122,GEOFON,,GFZ,gfz2008jegq,mb,4.4,,Northern Peru,
gfz2007qctl,18-08-2007 08:12,-5.8,-77.2,41,GEOFON,,GFZ,gfz2007qctl,mb,4.7,,Northern Peru,
